Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year,Date,Year_minus_2016,Volume,Volume_Litres,Category_ID,Subcategory_Name,Category_Name
8,Alcoholic Drinks,13,1,Total Volume,Kingway Brewery Holdings Ltd,million litres,2016,2016-12-31,4,"764,690083",764690083,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Lanzhou Huanghe Beer Co Ltd,million litres,2016,2016-12-31,4,"281,5400094",281540009,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Private Label,million litres,2016,2016-12-31,4,"1735,877818",1735877818,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Others,million litres,2016,2016-12-31,4,"30053,86642",30053866420,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anheuser-Busch InBev NV,million litres,2017,2017-12-31,5,"39275,08273",39275082730,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anheuser-Busch InBev NV,million litres,2018,2018-12-31,6,"41143,35765",41143357650,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anheuser-Busch InBev NV,million litres,2019,2019-12-31,7,"41080,236",41080236000,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anheuser-Busch InBev NV,million litres,2020,2020-12-31,8,"52147,56899",52147568990,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Anheuser-Busch InBev NV,million litres,2021,2021-12-31,9,"52545,43307",52545433070,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,million litres,2017,2017-12-31,5,"18383,00048",18383000480,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,million litres,2018,2018-12-31,6,"18663,08848",18663088480,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,million litres,2019,2019-12-31,7,"19276,49797",19276497970,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,million litres,2020,2020-12-31,8,"19636,55725",19636557250,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,million litres,2021,2021-12-31,9,"21466,10702",21466107020,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,China Resources Holdings Co Ltd,million litres,2019,2019-12-31,7,"11651,57049",11651570490,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,China Resources Holdings Co Ltd,million litres,2020,2020-12-31,8,"11715,00023",11715000230,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,China Resources Holdings Co Ltd,million litres,2021,2021-12-31,9,"11889,36987",11889369870,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Carlsberg A/S,million litres,2017,2017-12-31,5,"12552,80337",12552803370,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Carlsberg A/S,million litres,2018,2018-12-31,6,"12252,60298",12252602980,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Carlsberg A/S,million litres,2019,2019-12-31,7,"11953,69942",11953699420,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Carlsberg A/S,million litres,2020,2020-12-31,8,"11850,36489",11850364890,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Carlsberg A/S,million litres,2021,2021-12-31,9,"11818,71026",11818710260,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,million litres,2017,2017-12-31,5,"6194,650083",6194650083,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,million litres,2018,2018-12-31,6,"6079,809595",6079809595,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,million litres,2019,2019-12-31,7,"6037,151311",6037151311,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,million litres,2020,2020-12-31,8,"9578,013392",9578013392,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,million litres,2021,2021-12-31,9,"9397,028934",9397028934,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,million litres,2017,2017-12-31,5,"8612,632354",8612632354,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,million litres,2018,2018-12-31,6,"9053,96233",9053962330,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,million litres,2019,2019-12-31,7,"8473,851931",8473851931,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,million litres,2020,2020-12-31,8,"7948,324385",7948324385,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,million litres,2021,2021-12-31,9,"8064,157691",8064157691,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,million litres,2017,2017-12-31,5,"2253,437304",2253437304,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,million litres,2018,2018-12-31,6,"2241,465146",2241465146,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,million litres,2019,2019-12-31,7,"2218,974341",2218974341,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,million litres,2020,2020-12-31,8,"6347,23031",6347230310,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,million litres,2021,2021-12-31,9,"6330,037814",6330037814,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2017,2017-12-31,5,"5685,392992",5685392992,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2018,2018-12-31,6,"5327,913134",5327913134,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2019,2019-12-31,7,"4837,773892",4837773892,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2020,2020-12-31,8,"4493,50525",4493505250,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2021,2021-12-31,9,"4684,668424",4684668424,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,million litres,2017,2017-12-31,5,"4521,516581",4521516581,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,million litres,2018,2018-12-31,6,"4266,661004",4266661004,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,million litres,2019,2019-12-31,7,"4298,312544",4298312544,1,Beer,Beer
8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,million litres,2020,2020-12-31,8,"4038,236031",4038236031,1,Beer,Beer
